"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23940","Loddon (S)","A","Annual","2016","2016",86.2,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23940","Loddon (S)","A","Annual","2016","2016",3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23940","Loddon (S)","A","Annual","2016","2016",36936,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23940","Loddon (S)","A","Annual","2016","2016",27.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24130","Macedon Ranges (S)","A","Annual","2016","2016",89.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24130","Macedon Ranges (S)","A","Annual","2016","2016",4.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24130","Macedon Ranges (S)","A","Annual","2016","2016",50597,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24130","Macedon Ranges (S)","A","Annual","2016","2016",50,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24210","Manningham (C)","A","Annual","2016","2016",82,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24210","Manningham (C)","A","Annual","2016","2016",42.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24210","Manningham (C)","A","Annual","2016","2016",47275,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24210","Manningham (C)","A","Annual","2016","2016",63.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24250","Mansfield (S)","A","Annual","2016","2016",88.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24250","Mansfield (S)","A","Annual","2016","2016",3.9,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24250","Mansfield (S)","A","Annual","2016","2016",35491,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24250","Mansfield (S)","A","Annual","2016","2016",39.8,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24330","Maribyrnong (C)","A","Annual","2016","2016",74,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24330","Maribyrnong (C)","A","Annual","2016","2016",41.9,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24330","Maribyrnong (C)","A","Annual","2016","2016",49170,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24330","Maribyrnong (C)","A","Annual","2016","2016",66.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24410","Maroondah (C)","A","Annual","2016","2016",85.7,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24410","Maroondah (C)","A","Annual","2016","2016",17,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24410","Maroondah (C)","A","Annual","2016","2016",49694,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24410","Maroondah (C)","A","Annual","2016","2016",55.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24600","Melbourne (C)","A","Annual","2016","2016",45.2,,
